name,transcript,sample1,sample2,sample3,sample4,sample5,sample6,sample7
Gene24738,uc586001.1,145.98,143.81,134.32,128.32,149.76,120.18,131.2
Gene41435,uc709927.2,139.98,135.35,125.93,137.34,139.02,126.06,131.06
Gene21455,uc174187.3;uc865549.3,137.06,127.72,148.58,146.68,141.07,137.66,140.24
Gene28877,uc983737.2;uc896829.3,123.79,141.18,137.39,125.36,147.44,131.61,132.22
Gene31415,uc137245.2,140.38,149.21,132.02,120.54,142.21,134.11,126.64
Gene21042,uc423322.3;uc965125.2,125.14,123.35,144.22,120.14,143.11,130.27,135.25
Gene1845,uc857811.2,130.42,136.81,147.92,144.92,130.56,133.56,127.5
Gene46068,uc624016.3,121.2,132.04,128.96,127.27,136.03,139.49,127.16
Gene15672,uc235014.1;uc961046.2,148.56,135.68,144.23,140.74,135.67,141.18,129.26
Gene2256,uc766342.2;uc123227.1,142.77,139.16,127.87,136.16,120.67,145.94,122.75
Gene6619,uc969904.1,125.84,127.64,140,125.77,147.98,123.61,136.56
Gene14074,uc449205.2;uc782254.2,131.39,125.94,142.57,148.55,136.03,138.37,147.91
Gene34870,uc779854.1,128.93,129.81,141.1,142.79,136.78,129.59,148.58
Gene31110,uc766907.1,146.44,126.03,129.7,133.26,129.37,147.22,147.98
Gene31843,uc450016.3,149.25,140.49,126.54,141.86,125.48,134.34,127.12
Gene31637,uc460995.1,127.36,124.42,142.34,143.44,139.15,139.66,144.45
Gene17951,uc921572.2;uc860835.1,124.38,125.66,133.56,131.71,120.27,144.33,129.7
Gene7988,uc687898.3,146.61,138.36,125.75,127.64,142.31,123.37,147.81
Gene37317,uc186145.2,138.36,125.33,134.27,147.49,125.4,135.73,140.57
Gene38227,uc570268.3,126.05,139.22,142.87,120.91,131.22,135,145.59
Gene30885,uc998010.1,140.21,127.92,137,125.6,143.3,123.29,145.04
Gene9804,uc653937.1,142.31,147.57,146.22,130.98,136.02,130.26,149.57
Gene27195,uc430666.1;uc146249.1,146.11,128.32,139.13,138.18,130.18,138.92,123.81
Gene28627,uc373084.2;uc716354.2,120.82,141.84,134.79,149.61,128.13,130.47,142.93
Gene45878,uc982146.2,143.28,149.94,145.16,141.64,121.13,142.02,133.16
Gene2540,uc102545.2;uc212104.3,137.78,141.49,123.25,133.7,131.27,130.62,120.48
Gene42436,uc597488.2;uc406840.2,137.51,121.98,140.54,138.87,149.05,147.31,127.36
Gene13882,uc952684.3,143.79,143.48,120.47,126.05,127.84,127.92,141.75
Gene23924,uc399986.3,147.92,146.09,147.96,143.08,123.63,137.01,141.57
Gene24090,uc387957.1,145.63,128.96,146.01,132.83,138.72,134.33,144.73
Gene30216,uc957021.1,122.75,142.23,124.92,140.13,147.25,131.99,132.06
Gene13701,uc985867.3;uc283699.3,144.27,143.04,131.66,147.17,120.32,146.5,138.31
Gene41778,uc132240.2,140.17,133.05,139.85,140.6,121.05,126.62,142.58
Gene36827,uc831523.3,145.55,132.09,145.77,149.54,148.35,133.59,135.53
Gene17899,uc432936.1;uc760630.2,148.56,125.28,130.63,134.46,132.27,127.41,132.94
Gene33148,uc225551.3,125.12,138.15,147.27,126.94,142.39,132.1,125.62
Gene36430,uc559148.2,129.23,145.64,128.51,125.68,135.24,132.18,127.89
Gene50778,uc440960.1;uc948107.1,138.92,139.73,121.38,124.36,126.23,137.74,120.49
Gene1179,uc488226.3,124.14,146.57,139.69,124.72,121.78,148.34,145.8
Gene33842,uc466277.2,138.89,126.37,120.18,127.6,122.98,143.83,120.47
Gene11940,uc502832.3,138.09,137.89,134.54,144.48,121.97,126.44,130.27
Gene16703,uc195371.1;uc182169.3,120.8,148.54,131.11,147.64,133.35,132.66,141.04
Gene25283,uc578752.1,141.41,120.46,142.29,134.57,121.98,135.6,120.42
Gene6765,uc788478.3,142.2,135.87,128.43,149.82,143.18,134.73,126.41
Gene1247,uc577186.3;uc440649.1,141.39,127.88,147.3,144.12,145.48,146.09,132.44
Gene40238,uc629991.3;uc860191.2,122.8,146.98,144.97,141.97,126.08,120.62,124.21
Gene30527,uc678126.1;uc429557.2,145.82,137.26,122.62,138.72,145,125.08,149.38
Gene40368,uc685193.2,141.06,143.78,142.15,145.4,133.69,146.03,121.44
Gene11795,uc520531.3;uc431929.2,125.27,123.38,136.52,139.15,127.99,122.46,128.97
Gene25919,uc576856.3,124.03,145.54,120.7,123.25,146.84,121.57,144.42
Gene26096,uc963775.1;uc715837.2,135.72,132.25,132.12,138.86,135.15,122.86,127.64
Gene34244,uc918085.2,146.5,143.81,127.83,140.24,148.15,143.58,139.07
Gene25431,uc615552.1;uc655179.1,126.27,128.72,122.05,122.19,130.67,127.79,142.87
Gene24081,uc327343.2;uc937906.3,126.53,136.48,136.1,138.55,138.48,134.35,123.77
Gene26645,uc846471.1,145.76,143.16,148.73,123.09,121.49,122.93,121.21
Gene34943,uc955776.2,130.15,148.09,144.92,127,130.42,146.25,144.52
Gene21453,uc128197.1,147.44,140.6,124.19,137.91,141.85,136.79,140.14
Gene8096,uc218952.3,131.21,121.74,146.47,135.36,139.36,124.71,121.46
Gene26543,uc506831.2,140.18,135.82,147.66,149.4,136.42,131.28,126.62
Gene1470,uc821064.1,120.03,136.6,149.57,132.98,123.22,146.84,125.52
Gene30124,uc991453.2,144.42,147.66,147.85,142.97,142.91,147.06,126.81
Gene12650,uc544937.1,148.43,126.08,140.06,144.07,121.55,132.13,135.91
Gene28406,uc107737.3,132.39,120.81,124.74,142.69,146.67,129.62,120.22
Gene20707,uc169970.3;uc289674.1,140.16,137.01,142.52,122.62,141.63,141.11,138.55
Gene11902,uc599230.3,133.84,142.71,120.94,147.95,144.2,130.13,133.51
Gene17977,uc233373.1;uc800528.2,124.56,122.85,137.74,149.03,121.39,135.95,143.91
Gene24618,uc525236.1;uc485082.2,120.31,120.85,135.56,132.33,128.4,121.28,132.49
Gene35737,uc243057.1,148.38,134.21,149.05,127.42,141.54,134.74,124.94
Gene29282,uc325040.2;uc285200.1,143.62,123.87,146.35,142.49,143.62,147.36,136.14
Gene13735,uc137383.1,122.96,123.87,139.18,144.32,148.8,144.58,125.28
Gene20333,uc164476.2;uc308624.2,145.4,132.46,126.65,142.07,121.51,147.26,130.42
Gene34237,uc815325.2,145.03,144.46,143.7,138.08,144.33,134.06,134.12
Gene10872,uc904085.1,131.15,132.36,125,149.44,128.69,124.76,135.97
Gene7715,uc250836.2;uc813221.2,131.18,149.1,139.4,144.67,132.47,125.49,126.87
Gene29449,uc967467.3;uc748731.2,146.96,132.44,120.54,139.02,137.88,147.13,143.35
Gene18297,uc334855.2,120.43,138.48,125.07,127.26,133.66,141.73,120.92
Gene11324,uc762718.1,144.4,134.7,135.29,123.66,125.29,149.11,124.17
Gene17945,uc576001.3,147.52,135.91,139.15,141.93,140.26,146.22,143.96
Gene36878,uc562444.3,141.66,144.48,137.02,135.1,125.01,147.11,139.89
Gene22749,uc511978.1,121.94,136.66,145.84,141.27,124.21,122.63,128.91
Gene37514,uc268539.2,138.87,139.69,141.36,143.59,132.84,144.11,138.13
Gene25757,uc882290.1,148.96,143.29,140.8,140.81,135.54,137.11,146.63
Gene11623,uc488305.2,149.86,137.1,120.4,122.93,146.58,125.94,128.93
Gene42848,uc410267.3;uc560139.1,123.37,124.22,134.07,149.36,135.33,148.84,121.29
Gene16393,uc167976.2;uc999179.1,149.11,127.31,123.96,139.64,127.49,148.32,139.41
Gene15659,uc667143.3;uc796540.1,146.61,129.61,128.63,132.34,139.88,122.02,139.79
Gene25228,uc911111.3,133.57,141.56,129.12,142.37,120.85,146.24,146.23
Gene30870,uc797575.1;uc495928.3,140.05,140.53,121.39,121.31,127.56,127.16,131.01
Gene32420,uc979755.2,122.81,147.75,123.31,145.5,132.08,121.1,137.72
Gene27147,uc160839.1,124.72,131.18,125.68,123.37,135.29,126.54,146.73
Gene43212,uc679825.1;uc373876.3,133.48,124.3,136.46,138.46,143.11,135.67,126.57
Gene10291,uc640957.3;uc675362.1,132.42,142.04,121.66,122.85,124.44,140.19,122.38
Gene34679,uc243022.1,143.84,140.32,145.8,130.68,125.33,141.49,120.75
Gene4240,uc835989.2;uc989273.2,147.14,134.79,129.59,138.61,127.02,132.55,142.32
Gene10881,uc512845.3,125.07,148.99,132.7,149.12,136.49,133.13,121.96
Gene5093,uc578536.1,149.95,144.2,124.86,140.25,141.8,136.41,133.81
Gene30057,uc438235.1;uc198195.3,134.72,124.31,148.36,138,122.85,148.79,145.94
Gene21024,uc616183.2,134.93,120.66,122.6,137.34,125.05,144.36,123.42
Gene15328,uc180942.1,136.01,127.6,147.81,146.43,124.96,123.5,145.53
Gene23249,uc254095.2;uc981818.1,133.79,139.5,128.34,128.45,145.33,133.01,140.61
Gene42778,uc826604.1,121.69,139.81,127.96,131.15,142.94,131.57,137.11
Gene13080,uc436617.2,135.18,148.3,141.83,141.83,120.74,131.4,149.48
Gene14533,uc441884.2,130.69,145.87,122.35,148.55,123.77,131.11,149.54
Gene6191,uc915269.3,127.42,121.02,134.09,120.09,125.4,128.32,122.37
Gene48235,uc680978.3;uc936439.2,124.79,131.47,149.14,144.8,128.89,129.79,139.93
Gene36859,uc182412.3,136.97,146.99,142.55,147.01,125.73,142.18,130.66
Gene41838,uc576908.2,120.26,143.11,121.59,120.97,121.62,123.16,140.91
Gene24881,uc299994.2,141.54,125.28,138.3,131.74,149.27,141.27,147.93
Gene18792,uc767074.2,146.97,127.16,123.56,135.34,132.86,135.41,147.62
Gene5551,uc784088.2;uc729512.2,135.03,126.8,140.25,140.01,138.26,125.68,145.19
Gene47515,uc438381.2;uc468959.3,132.95,137.63,144.35,139.08,127.49,149.81,133.27
Gene4614,uc748415.1,141.45,127.05,141.37,128.65,123.07,131.36,138.72
Gene4517,uc271418.1;uc641104.1,146.3,137.38,135.23,125.94,139.98,127.32,121.62
Gene44659,uc126114.1,122.25,122.8,147.24,133.07,140.71,141.65,135.54
Gene28943,uc944892.1,131.77,136.47,149.9,120.6,144.82,141.5,120.95
Gene35971,uc572514.1,147.15,121.63,148.35,130.64,140.84,127.52,138.04
Gene34807,uc572672.3,123.58,127.59,133.82,122.12,145.24,148.19,145.46
Gene33984,uc738226.1,127.86,139.34,125.3,124.86,128.31,132.2,126.93
Gene17731,uc558302.2,125.21,131.23,142.77,124.74,124.5,143.23,136.41
Gene10094,uc945732.3,136.71,138.25,126.11,132.23,135.3,145.47,133.38
Gene15363,uc413184.1,139.54,126.18,130.54,123.99,142.53,126.92,127.85
Gene41503,uc932056.1,142.73,140.57,148.68,146.89,143.7,137.15,140.95
Gene16459,uc110146.2,127.47,143.54,137.77,121.96,135.12,120.67,126.17
Gene31880,uc834814.2,149.38,149.01,136.79,120.15,124.39,124.03,141.88
Gene45602,uc786091.2,144.98,148.6,131.45,145.91,126.63,136.37,120.66
Gene22262,uc758028.3;uc199279.2,134.75,137.49,135.37,146.9,144.09,125.28,126.59
Gene4745,uc166157.1,128.72,123.49,125.73,149.72,141.52,146.75,131.58
Gene2976,uc379666.1,120.88,134.85,123.37,142.73,67.91,148.43,124.01
Gene37324,uc275619.1;uc832444.3,138.2,133.73,145.88,132.13,140.96,125.04,140.97
Gene44397,uc819791.3,134.45,122.12,146.75,146.71,127.81,140.78,142.82
Gene31283,uc552534.3;uc603499.2,130.63,146.77,130.44,132.62,134.64,123.02,137.65
Gene4631,uc923218.2,130.1,135.21,130.05,143.47,139.39,136.93,121.46
Gene30933,uc505313.3;uc687902.3,135.85,123.36,126,137.91,135.04,147.57,136.36
Gene8151,uc779781.3,129.33,124.35,122.13,142.75,149.32,141.65,129.2
Gene38992,uc634994.3,121.6,125.65,139.98,147.53,126.2,137.76,146.82
Gene30231,uc176550.1;uc334857.2,141.98,131.08,128.46,124.63,125.82,126.23,144.51
Gene14538,uc734050.3,128.85,127.07,137.43,132.96,147.47,142.36,124.19
Gene47748,uc253340.1;uc947027.3,130.88,134.2,135.59,131.38,137.42,124.12,143.08
Gene38188,uc147509.3;uc983301.2,130.59,149.29,148.05,135.64,122.77,141.78,134.44
Gene6878,uc231400.2;uc452131.1,127.64,127.45,139.25,125.66,136.93,148.11,144.02
Gene2385,uc968013.2,123.67,136.25,139.41,132.32,130.13,125.58,149.48
Gene26967,uc522848.1,134.46,122.88,130.39,131.53,126.19,145.97,129.49
Gene15324,uc439312.3,123.66,133.93,133.4,145.27,143.61,142.78,125.74
Gene1457,uc241614.1,126.78,123.34,130.73,149.03,123.27,142.16,123.03
Gene12454,uc223294.3,124.15,130.02,139.23,124.58,123.04,144.96,132.26
Gene26399,uc449013.2,123.62,148.6,142.31,140.81,130,133.61,125.73
Gene30816,uc791040.1,139.01,137.11,134.03,130.18,138.18,129.25,128.91
Gene43590,uc896161.1;uc243767.1,122.63,146.98,146.73,125.83,136.87,140.17,139.35
Gene26997,uc255458.1,125,135.69,146.19,149.27,140.64,125.96,146.02
Gene29038,uc703496.1,124.35,123.32,135.04,121.16,133.61,141.05,137.69
Gene46477,uc501406.3,147.61,136.14,136.67,146.2,143.51,142.78,123.63
Gene25613,uc914622.3;uc659917.2,121.15,123,130.11,124.95,136.35,122.32,127.54
Gene18275,uc562185.2,136.01,121.46,138.58,141.26,146.55,131.18,134.03
Gene5179,uc681811.2,133.41,140.15,121.27,139.22,129.15,121.48,134.27
Gene37886,uc460579.3;uc681425.3,142.75,135.88,124.04,124.94,139.58,122.21,124.99
Gene5084,uc688706.2,133.57,149.04,143.02,149.02,145.71,141.68,125.79
Gene13806,uc726822.3,146.34,129.42,125.25,122.88,127.31,142.79,126.37
Gene48806,uc198924.2;uc643505.1,133.38,120.58,120.3,133.07,147.22,135.47,120.37
Gene28525,uc528477.3,138.91,137.98,123.08,149.39,145.3,140.45,146.55
Gene28658,uc916558.3,136.85,146.36,128.29,135.2,134.68,123.3,122.11
Gene19755,uc414729.3;uc800372.1,125.15,147.26,127.92,123.37,121.41,149.08,126.52
Gene50982,uc791330.1;uc913110.3,121.56,130.54,132.86,124.9,124.84,124.32,141.16
Gene35061,uc326791.2,134.23,142.16,130.26,129.61,133.95,142.17,142.77
Gene28550,uc223856.3;uc824657.1,131.58,146.17,129.81,141.51,138.56,140.9,128.44
Gene36233,uc711662.3,129.61,146.83,144.54,147.75,126.23,145.95,126.51
Gene22609,uc488984.2,143.93,126.53,133.72,126.52,127.36,144.21,139.9
Gene40193,uc456679.3,128.83,129.91,124.42,134.61,144.11,142.72,147.25
Gene18844,uc575435.1,136.69,145.27,131.52,139.51,134.46,143.98,125.63
Gene17929,uc990126.2;uc240374.3,136.48,148.07,134.56,138.93,135.7,125.52,123.67
Gene44614,uc122680.1,128.92,136.77,149.31,148.57,141.58,120.82,140.09
Gene35406,uc972890.1,131.84,143.75,141.94,132.73,131.28,131.04,120.24
Gene21953,uc268398.1,140.19,148.79,132.09,128.62,136.37,143.32,128.73
Gene34939,uc834323.3,120.54,138.75,120.58,121.78,131.61,145.03,122.13
Gene42973,uc404198.2;uc641431.3,123.5,138.3,141.7,132.72,137.24,138.37,134.11
Gene38589,uc929238.2;uc597476.1,126.82,132.24,146.88,147.02,124.55,124.31,132.59
Gene11515,uc895584.3,135.32,126.84,129.27,126.55,145.19,135.04,146.8
Gene21829,uc387191.1,134.64,123.57,148.81,147.92,132.81,140.19,143.19
Gene44889,uc988648.1,147.89,143.03,129.86,130.51,142.49,137.05,140.96
Gene39685,uc553081.1;uc464701.3,137.8,139.53,132.1,131.32,134.44,131.14,143.46
Gene50953,uc289061.1;uc566022.3,130.86,148.51,130.48,144.86,141.9,121.46,126.73
Gene32372,uc203613.2,141.28,146.22,125.4,128.2,129.65,137.48,149.81
Gene20723,uc758137.2,132.21,121.48,140.77,139.82,147.51,149.38,130.9
Gene48432,uc324371.1;uc495644.1,126.26,123.42,135.1,133.73,123.51,123.66,140.64
Gene47711,uc784317.3,128.7,134.91,131.59,125.5,140.32,132.11,123.12
Gene16823,uc501703.2,147.71,126.93,123.46,149.47,122.06,135.03,139.48
Gene1630,uc725821.3;uc143597.2,137.79,140.62,142.31,138.08,135.5,131.26,130.82
Gene5292,uc910865.1,126.95,124.96,123.4,141.16,125.6,125.43,140.13
Gene24719,uc692950.3;uc337790.2,143.8,149.76,132.81,144.64,122.59,130.28,143.63
Gene19274,uc335347.2,129.87,147.42,126.31,137.88,130.99,123.46,127.35
Gene20097,uc971918.1;uc888010.2,122.82,124.45,132.26,125.37,135.15,144.41,148.37
Gene2468,uc321260.1,147.9,123.43,120.58,125.46,136.88,143.47,123.09
Gene12892,uc646905.3;uc117819.1,127.6,123.15,120.53,138.35,122.37,126.71,135.95
